"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"foto kredits"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"Column2"	"Column3"	"Column4"	"Column5"
"42.452120,18.539997"	1013	"Kanli kula"	"Mirko "	"Kujačić"	1949	"ulje na platnu"	"74,5 x 100,5 "	"NMCG"		"Geoculture"	"Tokom boravka u Crnoj Gori autor slika u duhu poetskog realizma, nadahnutog primorskom atmosferom, kojem će se ponovo vratiti u tzv. mostarskom periodu (1961–1987). Takav je primjer slika “Kanli kula”. Iako naziv ukazuje na temu koju obrađuje predstava tvrđave je smještena u zadnjem planu, diskretno uklopljena u ambijent i dramatičnu amosferu neba pri zalasku sunca. Dominira gusto rastinje, u nekoliko toplih tonova zelene, prikazujući skoro šumoviti predio na mjestu koje danas ispunjavaju građevine. Ova slika ujedno je i jedna vrsta romantizovanog podsjećanja na Herceg Novi koji danas više nije grad zelenila kakav je nekada bio."	"Kanli kula („krvava kula“) je monumentalna tvrđava u Starom dijelu Herceg Novog sa otvorenim amfiteatrom, a izgradili su je Turci 1539. godine. Tokom turskog upravljanja Herceg Novim (1482–1687) služila je kao zatvor. Izgrađena je na temeljima druge tvrđave, o čemu svjedoče dva kamena na istočnom zidu na kojima su ostali čitljivi natpisi. Na jednom piše DEUS CREATUS (stvorio Bog), a na drugom IN PACE (u miru). Da li su oni uzeti sa građevine koja je tu prije postojala ili su pak odnekud donešeni, nije poznato. U ostacima zidina moguće je identifikovati elemente mletačke i austrougarske arhitekture. Unutar kule nalazi se dobro očuvana cisterna koja je korišćena kao zatvorska ćelija. Na njenim zidovima nalaze se crteži galija, predstave riba, grbovi, krstovi, imena i datumi. Crteži galija bliski su izgledu koje je turska flota koristila tokom 16. i 17. vijeka, pa se pretpostavlja da su Turci kulu u te svrhe koristili veoma dugo, sve do kraja svoje vladavine u Herceg Novom. Za vrijeme mletačke uprave korišćena je kao kasarna i konjušnica. Baza današnje kule je nepravilnog oblika, približne veličine 70 × 60 metara, sa relativno dobro očuvanim vanjskim zidovima i tornjevima na uglovima. Unutrašnjost kule prvi put je rekonstruisana 1960. godine za ljetnju scenu koja se i danas koristi."	"Mirko Kujačić; Herceg Novi"				
"42.222003,19.111104"	1014	"Godinjska gorica"	"Velimir Veliša"	"Leković"		"pastel na papiru "	"48,5x69,5"	"NMCG"		"Geoculture"	"Karakterističan jezerski pejzaž — blage padine i zasadi vinove loze u okolini Godinja. Leković pažljivo gradi kompoziciju ritmičnim nizovima vinove loze i kamenih ograda, dok tonovi zemlje i zelenila stvaraju osjećaj topline i plodnosti. U ovom prikazu izostaje dramatika planinskog pejzaža; umjesto toga, ostvaruje se smiren, gotovo meditativan doživljaj krajolika u kojem se prepoznaje sklad između čovjeka i prirode u zaleđu Skadarskog jezera."	"Godinje je selo smješteno u jugoistočnom dijelu Crne Gore, na obali Skadarskog jezera, u srcu crmničkog vinogradarskog kraja. Poznato po bogatoj istoriji, autentičnoj ruralnoj arhitekturi i dugoj tradiciji vinogradarstva, Godinje se u istorijskim izvorima pominje još od srednjeg vijeka, a tokom vjekova imalo je značajnu ulogu na granici između Crne Gore i Osmanskog carstva. Nakon oslobođenja od osmanske vlasti, selo se intenzivno razvijalo kroz poljoprivredu, ribarstvo i proizvodnju vina, po kojoj je bilo nadaleko čuveno. Poslije Drugog svjetskog rata uslijedilo je postepeno iseljavanje stanovništva, dodatno ubrzano razornim zemljotresom 1979. godine, nakon kojeg je Godinje gotovo napušteno. Uprkos tome, selo je danas prepoznato kao izuzetno vrijedno ruralno kulturno nasljeđe i zaštićeno kulturno dobro od nacionalnog značaja."	"Veliša Leković; Skadarsko jezero; Godinje"				
"42.43402974792681, 18.857866556769544"	1015	"Porušeno  Čekanje"	"Petar"	"Lubarda"	1947	"ulje na platnu"	"95,5x98"	"NMCG"		"Geoculture"	"Dominantan kolorit u ovim djelu je zeleno-smeđi, sa apstrahovanim predstavama rastinja i stijena, kao i fragmentima fasada napuštenih ili srušenih kuća bez krova. U djelima nastalim u kasnijem periodu paleta postaje svjetlija, nanos boje plošniji, a forma dobija izraženiju dramatičnost."	"Selo Čekanje nalazi se svega nekoliko kilometara od Cetinja. Još krajem XIX vijeka predstavljalo je zborno mjesto za žene iz okolnih sela Katunske nahije, koje su sa svojim domaćim proizvodima išle na pazar (pjacu) u Kotoru. Selo su zapalili italijanski okupatori kao znak odmazde zbog podizanja Trinaestojulskog ustanka, koji je 1941. godine označio početak Narodnooslobodilačkog rata u Jugoslaviji, a ujedno predstavljao i najveći ustanak u tadašnjoj Evropi. Motiv razrušenog sela, kao snažan simbol stradanja i otpora, često je prisutan u stvaralaštvu Petra Lubarde, koji mu se vraćao u više varijanti i slikarskih rješenja. Na ovaj tematski krug nadovezali su se i drugi umjetnici, posebno Aleksandar Aco Prijić."	"Petar Lubarda; Lovćen; Cetinje"				
"42.36109603161682, 18.99694857700749"	1016	"Vrtijeljka"	"Petar"	"Lubarda"	1950	"ulje na platnu"	"80,8x63,8"	"NMCG"		"Geoculture"	"Slika Vrtijeljka (brdo nedaleko od Cetinja) pripada ranom poslijeratnom periodu stvaralaštva Petra Lubarde, u kojem se umjetnik postepeno udaljava od predratnog, pretežno realističkog izraza i prelazi u fazu eksperimentalnog formalnog istraživanja slikarstva. Ova faza, koja obuhvata period s kraja 1940-ih i prve godine 1950-ih godina, obilježena je postepenim razlaganjem forme, slobodnijom upotrebom boje i sve naglašenijom ekspresivnošću kompozicije. Ova slika svjedoči o promjenama u tretmanu plohe i postepenom procesu deformacije motiva. Brdo se pojavljuje kao dominantna masa koja nosi kompoziciju, dok kolorit dobija simboličku dimenziju, zasnovanu na zemljanim, modrim, sivo-plavim i oker-zelenim tonovima, uz povremene oranž akcente. Ekspresivni nanosi boje doprinose osjećaju monumentalnosti pejzaža."	"U poslijeratnom periodu nastupa promjena u načinu slikanja podstaknuta doživljajem srednjovjekovnih fresaka. Tokom 1949. godine umjetnik obilazi manastire Srbije i Makedonije, a ta iskustva utiču na formiranje drugačijeg slikarskog postupka. Koristi mješavinu ulja, gipsa i mermernog praha, čime postiže krečnu fakturu, a u radu primjenjuje špahtle i noževe. Već samim odabirom teme razlikuje se od tada dominantnih tokova socrealističke paradigme i time predstavlja jasan otklon od zvanične estetske politike u trenutku kada je ona još uvijek imala snažan institucionalni autoritet."	"Petar Lubarda; Cetinje"				
	1017	"Motiv iz Crmnice"	"Petar "	"Lubarda"	1946	"pastel na kartonu"	"42x50,5"	"NMCG"		"Geoculture"	"Djelo odlikuje taman kolorit, sa intenzivnim gustim nanosima sivih, plavo-zelenih i smeđih tonova. Prizorom dominira karakterističan krševiti pejzaž sa niskim rastinjem i kamenim kućama."		"Petar Lubarda; Bar"				
"42.304273,18.897606"	1018	"Brajići"	"Petar"	"Lubarda"	1950	"ulje na platnu"	"74,5x100,5"	"NMCG"		"Geoculture"	"Slika Brajići stoji na raskršću između realističkog prikazivanja i ekspresivne apstrakcije. Kompozicija je frontalna, sa zgusnutim formama, pri čemu planinski masiv i zemljište dobijaju monumentalnu težinu. Linije brda, urbano okruženje i horizonti više nijesu precizni topografski podaci. Boje su gušće i kontrastnije, ponegdje sabijene u gotovo arhaične plohe."	"Površina slike postaje reljefna, čime pejzaž dobija taktilni kvalitet. Ova naglašena materijalnost platna potiskuje narativni sadržaj, a pejzaž se sve više transformiše u nosioca ekspresije. Ovaj zaokret ka snažnijem kolorističkom izrazu signalizira prelazak ka modernističkom jeziku, koji se kod Lubarde u potpunosti razvija već početkom 1950-ih."	"Petar Lubarda; Cetinje"				
	1019	"Brda"	"Petar "	"Lubarda"	1949	"ulje na platnu"	"51x78"	"NMCG"		"Geoculture"	"Jedna od velikih tema u opusu Petra Lubarde su crnogorska brda iz okoline Cetinja, koja će često obrađivati u serijama. Slikom dominira pastelni plavo-sivi kolorit i izrazita bjelina koja se odslikava na nebu i površinama brda."		"Petar Lubarda; Cetinje"				
	1020	"Crnogorska brda"	"Petar "	"Lubarda"	1950	"ulje na platnu"	"69x98,3"	"NMCG"		"Geoculture"	"Čest motiv prikazan uz veće svođenje elemenata, snažno konturiranim, vijugavim linijama brda. Kolorit je sivo-plavi, sa većim bijelim površinama i crvenim akcentom u prvom planu. Slika predstavlja uvertiru za radove (Noć u Crnoj Gori, Između dana i noći) koji će nastati u narednim godinama, a koji će označiti usmjeravanje ka apstraktnom slikarstvu."		"Petar Ćuković; Cetinje"				
	1021	"Iz okoline Cetinja"	"Petar "	"Lubarda"	1947	"akvarel i olovka u boji"	"49,5x64,5"	"NMCG"		"Geoculture"	"Planinski predio sa niskim kamenim kućama, postavljenim u centar kompozicije i okruženim planinskim masivom. Kompozicija je koloristički ujednačena, u dominantno oranž i smeđim tonovima."		"Petar Lubarda; Cetinje"				
"42.09258578524845, 19.135521930255916"	1023	"Pogled sa Starog Bara"	"Petar "	"Lubarda"	1949	"ulje na platnu"	"201 x 161 "	"Prijestonica Cetinje/NMCG/ Salon 13. Novembar"		"Geoculture"	"Prikaz Starog Bara nije dokumentaristički, već je transformisan u sliku prostora snažno prožetu emocijom. Panorama naselja ispod starog grada otvara se prema obali, u karakterističnom plavo-zelenom koloritu sa svijetlim i crvenim akcentima.
"	"Ova slika predstavlja važan trenutak u Lubardinom slikarskom razvoju – prelaz iz realističnog i ekspresivnog slikarstva ka sve većem stepenu stilizacije i forme bliske lirskom modernizmu. Lubardin kolorit je bogat, ali u kontrolisanoj harmoniji, sa jednom vrstom bakarnog prizvuka u tonu i jasno definisanim planovima pejzaža. U kontrastu sa kasnijim djelima iz pedesetih i šezdesetih godina – gdje dominiraju dekomponovani oblici, tamniji tonovi i simbolička prenaglašenost – ova slika djeluje smirenije, ali nosi snažan osjećaj prostora i specifične odlike pejzaža, što ostaje Lubardin zaštitni znak."	"Petar Lubarda; Bar"				
"42.43345248131676, 18.857800005679934"	1024	"Porušeno selo Čekanje"	"Petar"	"Lubarda"	1950	"ulje na platnu"	"59,5x72,7"	"NMCG"		"Geoculture"	"Na slici iz 1950. godine dominiraju bijela i siva, potencirajući posnost pejzaža i surovost crnogorskog krša, sa tek ponekim žutim i crvenim plamtećim akcentom. Ruševine kao da su sasvim srasle sa okolinom i postale dio negostoljubivog tla, odajući atmosferu mističnosti."	"Značajan dio Lubardinog opusa posvećen je istorijskim događajima, posebno onima vezanim za Drugi svjetski rat, tokom kojeg je proveo nekoliko godina u zarobljeništvu. U logoru je takođe crtao i ostavio dragocjena svjedočanstva o vremenu provedenom u internaciji."	"Petar Lubarda; Lovćen; Cetinje"				
	1025	"Stijene "	"Petar "	"Lubarda"	1949	"ulje na platnu"	"95 x 63 "	"NMCG"		"Geoculture"	"Nekoliko stijena detaljno je raščlanjeno i definisano suptilnim kolorističkim prelazima zelenih, smeđih i oker tonova, postavljenih naspram intenzivno sivo-plave pozadine neba."		"Petar Lubarda; Cetinje"				
"42.362904,19.057792"	1026	"Vranjina"	"Petar "	"Lubarda"		"ulje na platnu"	"81 x 64,5 "	"NMCG"		"Geoculture"	"Ova apstraktna kompozicija realizovana je intenzivnim koloritom, posnim nanosima boje u dominantno plavo-zelenom tonu, sa pastelnim plavim i sivim površinama i oranžnim i crvenim akcentima u prvom planu. Iako smješten u drugom planu, posebno se izdvaja plavo-ljubičasti predio Vranjine. Predio Skadarskog jezera česta je inspiracija mnogim crnogorskim slikarima, naročito pozicija sa Pavlove strane, odakle se pruža pogled na dva karakteristična gola brda na ostrvu Vranjina.
"		"Petar Lubarda; Skadarsko jezero"				
"42.463538,18.763785"	1028	"Palac iz Dobrote"	"Mario"	"Maskareli"		"ulje na platnu"	"60x72"	"NMCG"		"Geoculture"	"Slika predstavlja realistički prikaz glavne fasade jedne od najljepših kotorskih palata — kuće porodice Tripković iz XVII vijeka. Kolorit je suzdržan i pastelan, sa dominantnim sivo-oker i zelenim tonovima gustog rastinja koje okružuje objekat, čime se naglašava primorska atmosfera prizora, sa brdima koja se naziru u pozadini."	"Palata Tripković jedna je od najimpozantnijih baroknih palata Boke Kotorske i pripadala je uglednoj kotorskoj porodici koja je imala značajnu ulogu u razvoju Dobrote. Porodica je raspolagala flotom od osamnaest brodova, a iz nje je poteklo osamdeset šest pomoraca, među kojima šezdeset tri kapetana. Palata je izdignuta na plato i ograđena kamenim zidom sa porodičnim grbom, dok dvorište upotpunjuju balustrada i vrt — tzv. đardin. Izgrađena od korčulanskog kamena, sastoji se od konobe, dva sprata i završne etaže u obliku belvedera sa zabatom baroknih linija. Kao i mnoge bogataške kuće tog vremena, imala je pontu i prilaz za barku. Dugi niz godina bila je zapuštena, a nakon zemljotresa 1979. godine ostala je i bez krova. Danas je potpuno obnovljena te i dalje plijeni pažnju svojom arhitektonskom cjelovitošću i reprezentativnošću."	"Mario Maskareli; Kotor"				
"42.257067,18.893035"	1029	"Sveti Stefan"	"Milo"	"Milunović"	"oko 1960"	"jajčana tempera na kartonu"	"40,5x 48,5"	"NMCG"		"Geoculture"	"Na ovoj slici skoro monohromnih, pastelnih tonova, forme objekata svedene su na bojene površine, bez zalaženja u detalje, uz zadržavanje prepoznatljivih kontura poluostrva i naglasak na promenadi u prvom planu."	"Milunovićevo slikarstvo pedesetih i šezdesetih godina odlikuje svođenje kolorita na zemljane boje, pod uticajem impresija izazvanih slikarstvom Pompeja, ali i srednjevjekovnim freskama manastira Sopoćani. To će imati odjeka i na prikazima Svetog Stefana. Tokom ljetnjih mjeseci pravio je skice koje je potom razrađivao po povratku u Beograd, pretvarajući ih u monumentalne kompozicije, najčešće realizovane temperom, akrilikom, a nerijetko i u akvarelu."	"Milo Milunović; Sveti Stefan"				
"42.30633879696357, 18.89570365381607"	1030	"Iz okoline Budve"	"Milo"	"Milunović"		"tempera na papiru"	"18,2x21,4"	"NMCG"		"Geoculture"	"Apstraktna kompozicija, dominantno sivih tonova, predstavlja prikaz sela Brajići. Pejzaž je definisan dinamičnim bojenim nanosima bez jasnih struktura formi."		"Milo Milunović; Budva"				
"42.385018,18.920968"	1031	"Iz okoline Cetinja"	"Milo"	"Milunović"		"pastel na kartonu"	"39,7x48,5"	"NMCG"		"Geoculture"	"Krševiti predio kojim dominira stijena u prvom planu i konture brda u pozadini, između kojih su na uzvišenju smještene niske kuće koje se izdvajaju crvenim krovovima, ušuškane u gusto zelenilo."		"Milo Milunović; Cetinje"				
"42.256094,18.891866"	1032	"Kuća na Svetom Stefanu "	"Milo"	"Milunović"	1949	"ulje na platnu"	"65x92"	"NMCG"		"Geoculture"	"Slika predstavlja jedan netipičan pogled iz pozicije poluostrva ka kopnu i objektima koji se nalaze neposredno uz obalu. Prikaz kuće okružene gustim rastinjem i brdima koja se uzdižu u pozadini odiše monumentalnošću predjela. Karakterističan pastelni terakota kolorit dominira prvim planom, dok se u pozadini javljaju nešto intenzivniji sivo-zeleni tonovi."	"Za Milunovića, koji je na obali u blizini imao malu kuću, Sveti Stefan predstavljao je izvor neprestane inspiracije.
„Već dugo godina opredeljen sam za sunčane pejzaže i svet mora… Uvek ih radim sa istim uživanjem, nijanse jednog te istog motiva su neizmerne“, govorio je, neumorno slikajući poglede na poluostrvo iz različitih vizura tokom skoro čitave svoje karijere. Kroz različite tretmane ove teme mogu se pratiti promjene u načinu slikanja, od vjernog prikazivanja predjela ka postepenom svođenju na apstrakciju, što će uslijediti u kasnijim godinama.
"	"Milo Milunović; Sveti Stefan"				
"42.256575,18.893043"	1033	"Sveti Stefan"	"Milo"	"Milunović"		"pastel"	"70,5x54"	"NMCG"		"Geoculture"	"Vjernost prikaza i atmosfere osjeća se na slici koja donosi pogled iz neposredne blizine, sa druge strane šetališta, usmjeren na prednji plan prizora. Sliku odlikuje pastelni kolorit, sa oker i terakota tonovima koji stvaraju snažan utisak svjetlosti, dodatno pojačan netipičnim plavim tonovima neba. Motivom Svetog Stefana se bavio u različitim tehnikama – od ulja preko pastela i akvarela, sagledavajući ga svaki put na drugačiji način."		"Milo Milunović; Sveti Stefan"				
"42.257571,18.892799"	1034	"Sveti Stefan"	"Milo"	"Milunović"	1958	"tempera na platnu"	"98x123"	"Prijestonica Cetinje/NMCG, Kolekcija Vukmanović"		"Geoculture"	"Ovaj rad je znatno apstraktniji, sveden na geometrijske oblike, sa naglaskom na naselje sagledano izbliza, uz uvođenje motiva grane u prvom planu. Suptilno pretapanje oranž-oker i plavo-zelenih tonova stvorilo je raskošnu kompoziciju sa snažnim mediteranskim duhom, što posredno svjedoči o umjetnikovom majstorstvu. Slika se nalazi u kolekciji Svetozara Vukmanovića Tempa i Milice Sarić Vukmanović. Budući da su bili prijatelji, u zbirci se nalazi deset Milunovićevih radova i četiri djela njegove supruge, takođe slikarke Olge Boganović Milunović."		"Milo Milunović; Sveti Stefan; Kolekcija Vukmanović"				
	1038	"Iz okoline Cetinja"	"Pero "	"Poček"		"ulje na dasci"	"26x40,7"	"NMCG"		"Geoculture"	"Kompozicija je ujednačenog, intenzivnog zelenog kolorita, sa oker i bakarnim površinama u prednjem dijelu slike. Dva stoga sijena predstavljaju protivtežu intenzivnim, tamnim tonovima u pozadini. Tokom boravka u Crnoj Gori Poček je naslikao znatan broj pejzaža iz okoline Cetinja, Lovćena i Ulcinja, sa izraženim karakteristikama impresionizma."		"Pero Poček; Cetinje"				
"42.42194837688778, 18.798935001487685"	1039	"Pejzaž s Lovćenom"	"Pero "	"Poček"		"ulje na dasci"	"28,8x15,8"	"NMCG"		"Geoculture"	"Kompozicija izrazito svjetlog kolorita predstavlja dio serpentina starog puta od Kotora ka Cetinju, sa pogledom na Lovćenski masiv. Svedeni kolorit sivih i plavičastih tonova, uz velike površine bijele boje koje doprinose utisku snažne svjetlosti."		"Pero Poček; Lovćen"				
"42.38185010806174, 18.831797400290256"	1040	"Igre na Lovćenu"	"Pero "	"Poček"		"ulje na lesonitu"	"35x50"	"NMCG"		"Geoculture"	"Ilustracija jedne od scena iz „Gorskog vijenca“. Figuralna kompozicija, sa mnoštom aktera raspoređenih u nekoliko grupa, prikazanih u igri, dok nekoliko figura sjedi i posmatra. Bez zalaženja u detalje, akcenat je stavljen na dinamiku pokreta, sa intenzivnim smeđe-crvenkastim tonovima, dok je pejzaž u pozadini snažno osvijetljen."		"Pero Poček; Lovćen"				
"42.38746206855542, 18.921671030473778"	1041	"Kolo pred Cetinjskim manastirom"	"Pero "	"Poček"		"ulje na lesonitu"	"37,5x50"	"NMCG"		"Geoculture"	"Ilustracija jedne od scena iz „Gorskog vijenca“. Figure u crnogorskoj narodnoj nošnji, povezane u nizu, igraju kolo ispred Cetinjskog manastira. Figure su definisane bojom, bez jasnog razrađivanja fizionomija i odjeće."		"Pero Poček; Cetinje"				
	1043	"Predio"	"Pero "	"Poček"		"ulje na dasci"	"15,5x28,5"	"NMCG"		"Geoculture"	"Primorski motiv sa malom uvalom u prvom planu i dijelovima pejzaža koji se vide u daljini. Površina vode i nebo realizovani su postnim, pastelnim nanosima, dok je pejzaž definisan gustim, slojevitim premazima smeđe-zelenih tonova."		"Pero Poček"				
"41.985203377490905, 19.22984153544432"	1044	"Ulcinjsko polje"	"Pero "	"Poček"		"ulje na platnu"	"81x147,5"	"NMCG"		"Geoculture"	"Pogled na Ulcinjsko polje sa Briske Gore, sa masivnim stijenama i kućom u prvom planu. Vjerno je prikazan pejzaž u kojem se prepoznaje područje ulcinjske solane, danas zaštićeno područje na Ramsarovoj listi (međunarodno značajno močvarno stanište, naročito važno za ptice), kao i tok rijeke Bojane u drugom planu. Dominantan zeleni kolorit postepeno prelazi u plavičaste i gotovo bijele površine na horizontu. Snažna svjetlost i gusti nanosi naglašavaju impresionistički karakter ove slike."		"Pero Poček; Ulcinj"				
"42.405103068721424, 18.836647334368383"	1045	"Lovćen"	"Pero "	"Poček"		"ulje na dasci"	"15,6x28,3"	"NMCG"		"Geoculture"	"Pogled na podlovćensku udolinu nad kojom se uzdiže planinski masiv. Komponovana od smeđih i zelenih, gustih, ""čupavih"" nanosa, iako mala po formatu stvara utisak monumentalnosti predstave."		"Pero Poček; Lovčen"				
